scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_6A_1C_4R_Ages(7),Vung Tau,NHÀ NGUYÊN CĂN VŨNG TÀU DUNGVINH'S HOME,0,Vung Tau,Vũng Tàu,Family/Large,Căn nhà phố 3 phòng ngủ,Double/Large,"9 giường (2 giường sofa, 7 giường đôi lớn)",4,1148400,1148400,0,9.8,10,9.5,1.6,0,0,No Deal,6,1,7,12/23/2025
Random_1A_0C_1R,Vung Tau,Nhà Phố Gần Biển Bãi Sau - 4 Phòng Ngủ,0,Vung Tau,Vũng Tàu,Family/Large,Nhà 4 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi, 1 giường sofa)",1,1132625,1332500,15,1,1,,1.5,0,0,Ưu Đãi Cuối Năm,1,0,1,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,Nhà Phố Gần Biển Bãi Sau - 4 Phòng Ngủ,0,Vung Tau,Vũng Tàu,Family/Large,Nhà 4 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi, 1 giường sofa)",4,1481125,1742500,15,1,1,,1.5,0,0,Ưu Đãi Cuối Năm,6,1,7,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,Nhà Sài Gòn,3,Quận 5,"Quận 5, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi lớn,1,1008000,1440000,30,9.1,9,10,2.9,0,0,Ưu Đãi Cuối Năm,2,0,2,12/23/2025
Random_2A_0C_1R,Vung Tau,Nhà Thỉ Homestay,0,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ Studio,Double/Large,1 giường đôi lớn,1,524250,699000,25,10,3,,1.3,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe cho 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1,525000,525000,0,6.2,21,,4.2,1,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe 4 Người,Double/Large,2 giường đôi lớn,1,650000,650000,0,6.2,21,,4.2,1,0,No Deal,4,0,4,12/23/2025
Random_4A_0C_2R,Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,2 giường đôi lớn,2,700000,700000,0,6.2,21,,4.2,1,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi lớn,2,875000,875000,0,6.2,21,,4.2,1,0,No Deal,5,0,5,12/23/2025
Random_4A_2C_2R_Ages(9_7),Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,1 giường đôi lớn,2,1000000,1000000,0,6.2,21,,4.2,1,0,No Deal,4,2,6,12/23/2025
