Scenario,Hotel Name,Stars_Clean,District,Address,Room_Class,Room Type,Bed_Class,Bed Type,Final Price,Original Price,Discount %,Rating_Clean,Review Count,Location_Clean,Distance_KM,Free_Cancel_Bool,Breakfast_Bool,Badge_Clean,Adults,Children,Total_Guests,Check-in
Random_1A_2C_1R_Ages(1_2),Cozrum - New Sun Hotel,3.0,Quận Phú,"Quận Phú Nhuận, TP. Hồ Chí Minh",Standard/Superior,Phòng 2 Giường Đơn,Single/Twin,Phòng 2 Giường Đơn,805169,1201745,33.0,,,,2.6,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Ngọc Lan Hotel,2.0,Quận 11,"Quận 11, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe cho 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",731500,1330000,45.0,7.5,53.0,,4.7,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Vinhomes Luxury Residence at Binh Thanh - LUNA Landmark Apartment,4.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường đôi lớn)",2195550,2583000,15.0,8.5,36.0,,3.0,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),CoCo 301,3.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi Có Ban Công,Double/Large,Phòng Giường Đôi Có Ban Công,324000,324000,0.0,5.3,3.0,,3.7,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Sao Mai Hotel,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Presidential/Suite,Suite,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1000000,1000000,0.0,8.3,73.0,9.3,1.4,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Cashew Inn,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Family/Large,Phòng Gia Đình,Double/Large,"2 giường (1 giường đôi, 1 giường đôi lớn)",1435500,2610000,45.0,9.3,15.0,9.5,1.5,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Ha Do Centrosa Apartment District 10,5.0,Quận 10,"Quận 10, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (1 giường sofa, 2 giường đôi lớn)",2579000,2579000,0.0,8.5,21.0,,2.9,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Soho Apartment Central in District 1,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi, 1 giường đôi lớn)",2203200,6885000,68.0,8.1,23.0,,1.5,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Ngọc Châu Hotel Hồ Chí Minh,0.0,Quận 10,"Quận 10, TP. Hồ Chí Minh",Standard/Superior,Phòng 4 Người,Double/Large,2 giường đôi lớn,681450,1947000,65.0,7.6,5.0,,2.7,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Vinhomes Central Park- Luxury Apartment,0.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi cực lớn,2280000,5700000,60.0,7.3,27.0,,2.2,0,0,No Deal,1,2,3,12/17/2025
