final_name,detail_url,_parse_status,ratingValue,reviewCount,price_min,price_max,price_avg,streetAddress,addressLocality,addressCountry,lat,lng,amenities
Le Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13403465-Reviews-Le_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.5,35.0,605263.0,763158.0,684210.5,"17 Đống Đa Phường 2, Tân Bình, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Hotel L Odeon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8126625-Reviews-Hotel_L_Odeon-Ho_Chi_Minh_City.html,ok_jsonld,4.7,426.0,789474.0,1289474.0,1039474.0,"63-65 Lê Văn Thiêm, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Khoi Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d4551141-Reviews-Khoi_Hostel-Ho_Chi_Minh_City.html,ok_jsonld,4.3,143.0,289474.0,631579.0,460526.5,"373 / 11 Pham Ngu Lao St, Dist 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
"Kin Wander Tan Binh, The Mountain",https://www.tripadvisor.com.vn/Hotel_Review-g293925-d27647582-Reviews-Kin_Wander_The_Mountain-Ho_Chi_Minh_City.html,ok_jsonld,5.0,4.0,763158.0,1210526.0,986842.0,"51 Đường Núi Thành No.51, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Ha My Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14132188-Reviews-Ha_My_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.0,5.0,289474.0,631579.0,460526.5,"32 Street No. 6 Linh Trung, Thu Duc, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Lotus Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d558193-Reviews-Lotus_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.2,107.0,1157895.0,1921053.0,1539474.0,"120 Cach Mang Thang 8 Street Ward 7 District 3, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Novotel Living Saigon South,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26532141-Reviews-Novotel_Living_Saigon_South-Ho_Chi_Minh_City.html,ok_jsonld,4.8,48.0,2052632.0,3236842.0,2644737.0,"No 2 Street C Tan My Ward, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
HemTouch House,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d27956400-Reviews-HemTouch_House-Ho_Chi_Minh_City.html,ok_jsonld,5.0,4.0,947368.0,1868421.0,1407894.5,"146/20 Đường Võ Thị Sáu, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Winston Hotel Riverside,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20973044-Reviews-Winston_Hotel_Riverside-Ho_Chi_Minh_City.html,ok_jsonld,5.0,5.0,342105.0,526316.0,434210.5,"1110 Phạm Văn Đồng, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Khách sạn Hoàng Lan,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12964664-Reviews-Hoang_Lan_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.4,36.0,1184211.0,2973684.0,2078947.5,"107/16 đường Trương Định phường 6 quận 3, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Saigon Domaine Luxury Residences,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d608063-Reviews-Saigon_Domaine_Luxury_Residences-Ho_Chi_Minh_City.html,ok_jsonld,4.5,373.0,2368421.0,3552632.0,2960526.5,"1057 Binh Quoi street Binh Quoi Ward, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Brown Dot Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d32897737-Reviews-Brown_Dot_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.5,2.0,736842.0,1131579.0,934210.5,"155 Hoàng Hoa Thám Phường 13, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
NTA Tower,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15584763-Reviews-NTA_Tower-Ho_Chi_Minh_City.html,ok_jsonld,4.9,7.0,1526316.0,2236842.0,1881579.0,"171-173 Điện Biên Phủ Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Khách sạn Mỹ Lệ Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d667775-Reviews-Beautiful_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.3,1242.0,368421.0,1210526.0,789473.5,"62 Bui Vien St. Dist. 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
The Lancaster Suites - Japan Town D1,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3200277-Reviews-The_Lancaster_Suites_Japan_Town_D1-Ho_Chi_Minh_City.html,ok_jsonld,3.8,20.0,1710526.0,4078947.0,2894736.5,"22 Lê Thánh Tôn Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Lan Anh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6564867-Reviews-Lan_Anh_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.6,14.0,263158.0,500000.0,381579.0,"251/28 Lê Văn Thọ, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
