Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class,lr_room_class,lr_conf,is_misaligned
0.096735455,0.714285714,0.176470588,0.066837352,0.02739726,0.441176471,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,5,0.5618104034427386,False
0.046555567,0.571428571,0.235294118,0.026558512,0.046575342,0.5,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,5,5,0.5289052104474636,False
0.001463155,0.142857143,0.205882353,0.001497546,0.123287671,0.0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,3,3,0.33370364552529475,False
0.149008809,0.142857143,0.5,0.045991472,0.260273973,0.852941176,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,4,4,0.6203832602096861,False
0.076214827,0.142857143,0.338235294,0.032660611,0.184931507,0.941176471,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0.5731700159806709,False
0.060176573,0.142857143,0.235294118,0.034178179,0.136986301,0.588235294,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.5453179568771012,False
0.208684449,0.285714286,1.0,0.034644185,0.324200913,0.735294118,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,4,4,0.908654411394503,False
0.253046541,0.571428571,0.352941176,0.104103528,0.068493151,0.882352941,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0.4974650783092702,False
0.07905053,0.142857143,0.455882353,0.02647585,0.239726027,0.529411765,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,5,0,0.3623269881418513,False
0.015178998,0.142857143,0.588235294,0.004147567,0.301369863,0.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0.3278942418072508,False
0.061144832,0.571428571,0.323529412,0.027214239,0.063013699,0.794117647,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,4,4,0.5842820940934031,False
0.03736247,0.428571429,0.132352941,0.031552821,0.037671233,0.647058824,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,3,0.902193441584362,False
0.170777614,0.857142857,0.338235294,0.072790852,0.043052838,0.823529412,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0.540750590151833,False
0.00498988,0.142857143,0.279411765,0.002872911,0.157534247,0.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,3,3,0.6826553984455014,False
0.094095038,0.571428571,0.176470588,0.065032051,0.035616438,0.529411765,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,5,0.5673240880406379,False
0.04377299,0.285714286,0.455882353,0.014741851,0.155251142,0.676470588,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,4,4,0.8068484607461351,False
0.152926781,0.142857143,0.308823529,0.070068829,0.171232877,0.823529412,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0.6277024190226296,False
0.012862337,0.142857143,0.5,0.004102866,0.260273973,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0.29000222177839324,False
0.031879103,0.285714286,0.279411765,0.016109855,0.100456621,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,5,0.3305430376737653,False
0.113705688,0.428571429,0.161764706,0.08307235,0.044520548,0.529411765,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,5,5,0.623149150377304,False
0.159218795,0.857142857,0.294117647,0.075753845,0.037181996,0.411764706,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0.44538987116600587,False
0.003124019,0.142857143,0.352941176,0.001577616,0.191780822,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0.2843642547595174,False
0.118707979,0.428571429,0.279411765,0.058853708,0.071917808,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,5,0,0.46236600783451876,False
0.846724478,0.714285714,0.367647059,0.336424146,0.057077626,0.470588235,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.9991552267426049,False
0.122277045,0.428571429,0.294117647,0.058267719,0.075342466,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,1,0.36390727459274724,False
0.008663228,0.142857143,0.602941176,0.002346654,0.308219178,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0.3884878189290324,False
0.004602871,0.142857143,0.132352941,0.004674829,0.089041096,0.0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,3,3,0.5173826424415523,False
0.115522514,0.428571429,0.323529412,0.051115024,0.082191781,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,1,0.35855021663781356,False
0.012444626,0.142857143,0.588235294,0.003416008,0.301369863,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.3201083899498676,False
0.090344289,0.142857143,0.441176471,0.03108067,0.232876712,0.823529412,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,2,0.5344282077333764,False
0.028528361,0.0,0.205882353,0.018152017,0.260273973,0.588235294,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,5,0.6035362373261196,False
0.084149542,0.285714286,0.176470588,0.058232137,0.068493151,0.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,3,3,0.7410356342083578,False
